indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2010-03-01,CABA,Residentes,386382,""
2010-03-01,CABA,No residentes,508331,""
2010-03-01,Cuyo,Residentes,262640,""
2010-03-01,Cuyo,No residentes,62936,""
2010-03-01,Córdoba,Residentes,422124,""
2010-03-01,Córdoba,No residentes,14653,""
2010-03-01,Litoral,Residentes,335631,""
2010-03-01,Litoral,No residentes,59109,""
2010-03-01,Norte,Residentes,188634,""
2010-03-01,Norte,No residentes,56104,""
2010-03-01,Patagonia,Residentes,408289,""
2010-03-01,Patagonia,No residentes,244208,""
2010-04-01,Buenos Aires,Residentes,464357,""
2010-04-01,Buenos Aires,No residentes,6160,""
2010-04-01,CABA,Residentes,418455,""
2010-04-01,CABA,No residentes,509730,""
2010-04-01,Cuyo,Residentes,261261,""
2010-04-01,Cuyo,No residentes,54654,""
2010-04-01,Córdoba,Residentes,368038,""
2010-04-01,Córdoba,No residentes,11851,""
2010-04-01,Litoral,Residentes,323914,""
2010-04-01,Litoral,No residentes,52672,""
2010-04-01,Norte,Residentes,235227,""
2010-04-01,Norte,No residentes,38896,""
2010-04-01,Patagonia,Residentes,331085,""
2010-04-01,Patagonia,No residentes,134753,""
2010-05-01,Buenos Aires,Residentes,277030,""
2010-05-01,Buenos Aires,No residentes,4144,""
2010-05-01,CABA,Residentes,423933,""
2010-05-01,CABA,No residentes,466425,""
2010-05-01,Cuyo,Residentes,250143,""
2010-05-01,Cuyo,No residentes,47896,""
2010-05-01,Córdoba,Residentes,318228,""
2010-05-01,Córdoba,No residentes,10707,""
2010-05-01,Litoral,Residentes,339688,""
2010-05-01,Litoral,No residentes,48622,""
2010-05-01,Norte,Residentes,257433,""
2010-05-01,Norte,No residentes,28270,""
2010-05-01,Patagonia,Residentes,256967,""
2010-05-01,Patagonia,No residentes,83584,""
2010-06-01,Buenos Aires,Residentes,177235,""
2010-06-01,Buenos Aires,No residentes,2806,""
2010-06-01,CABA,Residentes,404756,""
2010-06-01,CABA,No residentes,521611,""
2010-06-01,Cuyo,Residentes,193102,""
2010-06-01,Cuyo,No residentes,35594,""
2010-06-01,Córdoba,Residentes,232404,""
2010-06-01,Córdoba,No residentes,11840,""
2010-06-01,Litoral,Residentes,321056,""
2010-06-01,Litoral,No residentes,46289,""
2010-06-01,Norte,Residentes,256191,""
